Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"EXIDEIND","242.00","246.85","242.00","245.25","2.35","0.97","19.48","47.62","250.00","192.40","2.85","13.07"
"RELCAPITAL","425.80","434.70","421.10","429.15","4.10","0.96","29.61","127.10","879.90","393.60","-29.57","0.30"
"JISLJALEQS","112.00","113.40","111.50","113.00","1.05","0.94","28.70","32.28","150.40","82.60","-0.79","5.66"
"CENTURYTEX","1,213.00","1,245.00","1,213.00","1,237.15","11.30","0.92","4.58","56.41","1,471.20","1,013.00","8.96","7.16"
"AJANTPHARM","1,364.00","1,392.65","1,338.00","1,377.00","12.00","0.88","1.75","23.99","1,746.95","1,120.05","-20.22","-0.00"
"ZEEL","589.35","602.00","588.00","592.80","5.10","0.87","15.35","91.69","619.00","458.10","11.13","4.58"
"L&TFH","163.90","166.70","163.60","165.95","1.40","0.85","31.87","52.75","213.85","119.35","30.46","6.17"
"TATACOMM","630.00","639.90","626.85","634.60","5.20","0.83","1.77","11.23","776.00","570.45","-11.00","-0.58"
"DABUR","354.80","363.35","353.75","358.00","2.85","0.80","9.94","35.63","368.60","265.00","23.15","11.02"
"DRREDDY","2,123.40","2,142.00","2,095.00","2,138.90","17.00","0.80","5.45","115.76","2,787.00","1,901.15","-18.13","-0.13"
"JUBLFOOD","2,451.00","2,482.35","2,421.65","2,465.00","19.15","0.78","5.52","135.72","2,538.70","817.20","139.69","11.67"
"BOSCHLTD","19,481.00","19,819.95","19,413.20","19,632.15","150.55","0.77","0.22","42.41","25,240.00","16,975.00","-13.13","11.64"
"RELIANCE","930.00","944.35","928.50","935.00","7.10","0.77","35.09","328.50","990.95","647.55","36.54","4.25"
"ARVIND","422.00","428.80","419.25","425.20","3.20","0.76","12.51","53.18","478.50","353.25","6.61","8.91"
"ENGINERSIN","153.50","154.25","150.75","153.50","1.15","0.75","19.94","30.39","206.40","140.65","-9.14","-1.13"
"MCDOWELL-N","3,445.00","3,516.00","3,425.50","3,477.30","26.00","0.75","2.65","92.16","4,005.15","1,837.70","84.15","13.16"
"GAIL","332.70","335.40","327.60","333.00","2.45","0.74","25.51","84.82","389.63","259.99","-17.11","-23.46"
"CESC","1,029.20","1,047.40","1,021.00","1,035.50","7.65","0.74","3.89","40.33","1,190.00","807.05","15.18","17.64"
"TITAN","960.00","973.20","948.60","963.00","6.45","0.67","22.96","220.97","999.70","460.10","100.83","10.40"
"DCBBANK","194.85","200.25","192.55","195.80","1.30","0.67","28.71","56.68","213.00","155.05","8.63","20.01"
"KAJARIACER","560.00","568.00","559.20","564.25","3.70","0.66","1.00","5.61","789.80","535.30","-13.69","-1.91"
"NMDC","123.45","125.40","122.05","123.80","0.80","0.65","28.43","35.24","162.70","102.80","-2.67","2.36"
"INFY","1,168.00","1,214.40","1,155.25","1,185.95","7.50","0.64","109.15","1,295.41","1,221.05","860.00","27.89","1.58"
"ANDHRABANK","39.00","39.70","37.85","39.40","0.25","0.64","58.12","22.63","76.10","31.95","-35.14","-8.37"
"PIDILITIND","1,065.00","1,072.60","1,063.25","1,069.00","6.65","0.63","1.98","21.11","1,072.60","710.05","49.02","18.47"
"AMARAJABAT","852.85","868.20","844.40","858.75","5.30","0.62","5.03","43.22","941.00","664.55","-0.95","8.54"
"BHARTIARTL","401.50","406.50","396.85","404.30","2.30","0.57","37.81","152.51","564.80","336.50","17.96","-3.32"
"SHREECEM","17,100.00","17,209.90","16,910.05","17,090.00","90.15","0.53","0.10","17.70","20,538.00","15,652.15","-2.37","6.03"
"ACC","1,560.00","1,581.80","1,552.00","1,570.00","8.35","0.53","3.03","47.42","1,869.95","1,486.00","3.90","0.74"
"MARUTI","9,039.90","9,125.00","9,005.95","9,069.90","44.90","0.50","3.02","274.27","9,996.40","6,177.00","44.57","2.20"
"SBIN","241.90","244.85","239.30","242.40","1.20","0.50","121.12","293.77","351.30","232.35","-14.89","-2.26"
